ts,location1,avg_temp1,location2,avg_temp2,location3,avg_temp3,location4,avg_temp4,location5,avg_temp5,location6,avg_temp6,location7,avg_temp7,location8,avg_temp8,location9,avg_temp9,location10,avg_temp10
2022-05-08 01:00:00.0,44429,29.258333333333336,12061,26.637500000000014,67501,24.235652173913046,15544,23.759166666666673,62898,23.329166666666676,12126,2.375,68743,5.366666666666667,25514,5.550000000000001,12938,6.908333333333332,68070,6.926086956521738
2022-05-08 02:00:00.0,44429,29.19583333333334,12061,26.44999999999999,67501,23.898333333333326,15544,23.683999999999997,62898,23.145833333333343,12126,1.9437499999999999,25514,4.762499999999998,68743,5.271428571428572,68070,6.175000000000001,12938,6.262499999999999
2022-05-08 03:00:00.0,44429,29.152000000000008,12061,26.304166666666678,67501,23.606666666666673,15544,23.578333333333333,62898,22.991999999999997,12126,1.9040000000000001,25514,4.095833333333334,68743,5.380555555555553,68070,5.47826086956522,15701,5.617083333333333
2022-05-08 04:00:00.0,44429,29.066666666666674,12061,26.12800000000001,70050,25.220800000000004,15544,23.447083333333335,67501,23.415833333333325,12126,3.1766666666666663,25514,4.404,68070,5.7250000000000005,58929,5.8125,68743,6.880000000000001
2022-05-08 05:00:00.0,44429,28.987999999999996,12938,28.949999999999992,34807,26.28947368421053,12061,26.062500000000004,70050,25.08333333333334,25514,5.770833333333333,12126,6.340800000000001,58929,7.031999999999999,68070,7.458333333333333,17142,7.679166666666666
2022-05-08 06:00:00.0,12938,36.836000000000006,34807,29.315000000000005,44429,28.904166666666654,70050,28.200000000000006,12061,25.991666666666664,25514,7.637499999999999,64960,8.456,17142,8.741666666666667,58929,9.056,12126,9.058333333333334
2022-05-08 07:00:00.0,12938,39.31666666666667,67822,35.1904347826087,11926,30.162083333333328,70050,30.033333333333335,44429,28.81599999999999,25514,9.691304347826087,64960,9.724999999999998,17142,9.745833333333335,12126,10.109600000000002,18782,10.245454545454546
2022-05-08 08:00:00.0,12938,41.9125,67822,35.26090909090909,69934,34.00416666666666,12753,33.9,71463,31.06521739130435,17142,10.779166666666669,64960,11.074999999999998,18782,11.25,12007,11.399999999999999,12126,11.762500000000001
2022-05-08 09:00:00.0,12938,43.57083333333333,9119,39.79166666666667,12753,35.84166666666667,69934,35.60173913043478,15845,34.78631578947369,12007,11.504761904761905,12126,11.706956521739132,17142,11.987500000000002,64960,12.095000000000002,18782,12.816666666666668
2022-05-08 10:00:00.0,9119,41.95333333333334,15845,38.67831325301204,12938,35.32777777777777,7882,34.10909090909092,69934,33.54352941176471,12126,12.935294117647059,64960,13.11176470588235,17142,13.142857142857142,71205,13.816999999999997,47352,13.945454545454545
2022-05-08 11:00:00.0,15845,42.35353535353536,9119,38.74090909090909,71379,32.535,71564,32.26521739130435,7882,32.041666666666664,12126,12.00318181818182,71205,12.855652173913043,17142,14.087499999999997,64960,14.256521739130436,12007,14.268181818181818
2022-05-08 12:00:00.0,15845,45.208910891089104,6454,36.10434782608696,65569,34.095833333333324,68518,31.949565217391307,13497,31.209285714285716,12938,12.540000000000003,71205,12.761739130434787,12126,12.926190476190476,12007,13.87,69435,14.336666666666668
2022-05-08 13:00:00.0,15845,45.22280701754382,6454,40.75416666666666,65569,36.925,11424,35.521052631578954,66372,35.27652173913044,71205,10.563333333333333,69435,11.7025,12938,11.884,12126,12.616666666666665,12007,13.867999999999997
2022-05-08 14:00:00.0,6454,47.416666666666686,11424,45.01,69116,38.54083333333333,66372,37.7904347826087,15709,36.72541666666666,71205,9.088800000000003,69435,10.356666666666667,12938,11.245833333333332,12126,12.644166666666665,12007,12.816666666666668
2022-05-08 15:00:00.0,11424,48.83157894736841,6454,45.9625,15709,40.495416666666664,56286,37.663999999999994,69116,36.355199999999996,71205,8.687499999999998,12938,9.529166666666665,69435,9.895200000000003,12126,12.0372,12007,12.268000000000004
